place,title,time,pay,date
강원 춘천시, 춘천이마트,10:00~22:00,,1시간전
경기 안양시, KFC 안양일번가,18:00~01:30,,1시간전
경기 성남시, 정자역,17:00~01:00,,2시간전
경기 성남시, 정자역,17:00~01:00,,3시간전
경기 성남시, 정자역,17:00~01:00,,3시간전
경기 성남시, 정자역,17:00~01:00,,3시간전
경기 성남시, 정자역,17:00~01:00,,3시간전
서울 중구, KFC 본사,09:00~18:00,,4시간전
경북 경산시, 영남대,09:00~24:00,,4시간전
경기 안양시, KFC 안양일번가,18:00~01:30,,4시간전
대전 유성구, KFC 유성온천,11:00~24:00,,5시간전
충남 아산시, 아산터미널,16:00~22:30,,8시간전
경기 수원시, 영통씨네마,18:00~24:00,,14시간전
서울 도봉구, 우이동,11:00~17:00,,15시간전
대구 수성구, 대구시지,17:00~23:30,,02/01
서울 중랑구, 사가정,18:00~02:00,,01/31
서울 강남구, 압구정1,17:00~22:30,,01/31
대구 서구, 내당동,09:30~01:00,,01/31
충남 천안시, 천안쌍용,09:30~23:00,,01/30
대전 유성구, KFC 유성온천,11:00~24:00,,01/30
대구 수성구, 대구시지,17:00~23:30,,01/29
서울 중랑구, 사가정,18:00~02:00,,01/28
서울 관악구, 서울대입구역,12:00~24:00,,01/28
서울 서초구, KFC 강남역점,17:00~23:30,,01/28
서울 중랑구, 사가정,18:00~02:00,,01/28
경기 고양시, KFC 행신역,17:00~24:00,,01/27
경기 고양시, KFC 행신역,11:30~17:30,,01/27
경기 성남시, 분당정자,09:30~23:00,,01/26
서울 성북구, 돈암동1,09:30~24:00,,01/25
서울 서초구, 강남고속터미널,17:00~24:00,,01/25
서울 서초구, 강남고속터미널,10:00~17:00,,01/25
서울 서초구, 강남고속터미널,10:00~17:00,,01/21
경기 김포시, 김포한강,17:00~23:00,,01/21
